wd11cd,wd11nm,Cluster,Gym,Poverty_family,GreenSpace
E05000326,Brunel,0,0.0,0.0,0.0
E05000327,Cavendish,3,0.0,0.0,0.0
E05000328,Charville,2,0.0,0.0,0.0
E05000329,Eastcote and East Ruislip,0,0.0,0.0,0.0
E05000330,Harefield,1,0.0,0.0,0.0
E05000331,Heathrow Villages,2,10.0,0.0,0.0
E05000332,Hillingdon East,2,0.0,0.0,0.0
E05000333,Ickenham,2,0.0,0.0,0.0
E05000334,Manor,2,0.0,0.0,0.0
E05000335,Northwood,2,0.0,0.0,0.0
E05000336,Northwood Hills,2,0.0,0.0,0.0
E05000337,Pinkwell,2,0.0,0.0,0.0
E05000338,South Ruislip,2,0.0,0.0,0.0
E05000339,Townfield,3,0.0,0.0,0.0
E05000340,Uxbridge North,0,0.0,0.0,0.0
E05000341,Uxbridge South,4,10.0,0.0,0.0
E05000342,West Drayton,2,0.0,10.0,0.0
E05000343,West Ruislip,1,0.0,0.0,0.0
E05000344,Yeading,2,0.0,0.0,0.0
E05000345,Yiewsley,4,10.0,0.0,0.0
E05000346,Bedfont,4,10.0,0.0,0.0
E05000347,Brentford,4,0.0,0.0,0.0
E05000348,Chiswick Homefields,1,0.0,0.0,0.0
E05000349,Chiswick Riverside,1,0.0,0.0,0.0
E05000350,Cranford,2,10.0,0.0,0.0
E05000351,Feltham North,0,10.0,0.0,0.0
E05000352,Feltham West,4,10.0,0.0,0.0
E05000353,Hanworth,2,10.0,0.0,0.0
E05000354,Hanworth Park,2,10.0,0.0,0.0
E05000355,Heston Central,2,0.0,10.0,0.0
E05000356,Heston East,2,0.0,0.0,0.0
E05000357,Heston West,2,0.0,0.0,0.0
E05000358,Hounslow Central,2,10.0,0.0,0.0
E05000359,Hounslow Heath,2,0.0,0.0,0.0
E05000360,Hounslow South,2,0.0,0.0,0.0
E05000361,Hounslow West,2,0.0,0.0,0.0
E05000362,Isleworth,4,0.0,0.0,0.0
E05000363,Osterley and Spring Grove,0,0.0,0.0,0.0
E05000364,Syon,4,0.0,0.0,0.0
E05000365,Turnham Green,2,0.0,0.0,0.0
E05000366,Barnsbury,4,10.0,0.0,0.0
E05000367,Bunhill,4,10.0,0.0,0.0
E05000368,Caledonian,4,10.0,0.0,0.0
E05000369,Canonbury,4,10.0,0.0,0.0
E05000370,Clerkenwell,4,10.0,0.0,0.0
E05000371,Finsbury Park,4,10.0,0.0,0.0
E05000372,Highbury East,4,0.0,0.0,0.0
E05000373,Highbury West,4,0.0,0.0,0.0
E05000374,Hillrise,4,0.0,0.0,0.0
E05000375,Holloway,4,10.0,0.0,0.0
E05000376,Junction,4,0.0,0.0,0.0
E05000377,Mildmay,4,0.0,10.0,0.0
E05000378,St George's,4,0.0,0.0,0.0
E05000379,St Mary's,4,0.0,0.0,0.0
E05000380,St Peter's,4,0.0,0.0,0.0
E05000381,Tollington,4,0.0,0.0,0.0
E05000400,Alexandra,1,0.0,0.0,0.0
E05000401,Berrylands,2,0.0,0.0,0.0
E05000402,Beverley,2,0.0,0.0,0.0
E05000403,Canbury,2,0.0,0.0,0.0
E05000404,Chessington North and Hook,2,0.0,0.0,0.0
E05000405,Chessington South,1,0.0,0.0,0.0
E05000406,Coombe Hill,1,0.0,0.0,0.0
E05000407,Coombe Vale,2,0.0,0.0,0.0
E05000408,Grove,1,0.0,0.0,0.0
E05000409,Norbiton,0,0.0,0.0,0.0
E05000410,Old Malden,1,0.0,0.0,0.0
E05000411,St James,2,0.0,0.0,0.0
E05000412,St Mark's,2,0.0,0.0,0.0
E05000413,Surbiton Hill,2,0.0,0.0,0.0
E05000414,Tolworth and Hook Rise,2,0.0,0.0,0.0
E05000415,Tudor,1,0.0,0.0,0.0
E05000416,Bishop's,4,10.0,0.0,0.0
E05000417,Brixton Hill,4,0.0,0.0,0.0
E05000418,Clapham Common,4,0.0,0.0,0.0
E05000419,Clapham Town,4,0.0,0.0,0.0
E05000420,Coldharbour,0,10.0,0.0,0.0
E05000421,Ferndale,4,10.0,0.0,0.0
E05000422,Gipsy Hill,4,10.0,0.0,0.0
E05000423,Herne Hill,3,0.0,0.0,0.0
E05000424,Knight's Hill,4,0.0,0.0,0.0
E05000425,Larkhall,0,0.0,10.0,0.0
E05000426,Oval,4,10.0,0.0,0.0
E05000427,Prince's,0,10.0,0.0,0.0
E05000428,St Leonard's,1,0.0,0.0,0.0
E05000429,Stockwell,4,10.0,0.0,0.0
E05000430,Streatham Hill,4,0.0,0.0,0.0
E05000431,Streatham South,2,0.0,0.0,0.0
E05000432,Streatham Wells,4,0.0,0.0,0.0
E05000433,Thornton,4,0.0,0.0,0.0
E05000434,Thurlow Park,4,0.0,0.0,0.0
E05000435,Tulse Hill,4,10.0,0.0,0.0
E05000436,Vassall,4,10.0,0.0,0.0
E05000437,Bellingham,4,0.0,10.0,0.0
E05000438,Blackheath,1,0.0,0.0,0.0
E05000439,Brockley,4,10.0,0.0,0.0
E05000440,Catford South,2,0.0,0.0,0.0
E05000441,Crofton Park,1,0.0,0.0,0.0
E05000442,Downham,4,10.0,0.0,0.0
E05000443,Evelyn,4,10.0,0.0,0.0
E05000444,Forest Hill,4,0.0,0.0,0.0
E05000445,Grove Park,4,10.0,0.0,0.0
E05000446,Ladywell,2,0.0,0.0,0.0
E05000447,Lee Green,2,0.0,0.0,0.0
E05000448,Lewisham Central,2,10.0,0.0,0.0
E05000449,New Cross,2,10.0,0.0,0.0
E05000450,Perry Vale,4,0.0,0.0,0.0
E05000451,Rushey Green,0,0.0,0.0,0.0
E05000452,Sydenham,4,10.0,0.0,0.0
E05000453,Telegraph Hill,2,0.0,10.0,0.0
E05000454,Whitefoot,4,0.0,10.0,0.0
E05000455,Abbey,1,0.0,0.0,0.0
E05000456,Cannon Hill,1,0.0,0.0,0.0
E05000457,Colliers Wood,1,0.0,0.0,0.0
E05000458,Cricket Green,4,10.0,0.0,0.0
E05000459,Dundonald,1,0.0,0.0,0.0
E05000460,Figge's Marsh,4,10.0,0.0,0.0
E05000461,Graveney,2,10.0,0.0,0.0
E05000462,Hillside,1,0.0,0.0,0.0
E05000463,Lavender Fields,4,10.0,0.0,0.0
E05000464,Longthornton,3,10.0,0.0,0.0
E05000465,Lower Morden,1,0.0,0.0,0.0
E05000466,Merton Park,1,0.0,0.0,0.0
E05000467,Pollards Hill,2,10.0,0.0,0.0
E05000468,Ravensbury,4,10.0,0.0,0.0
E05000469,Raynes Park,1,0.0,0.0,0.0
E05000470,St Helier,4,10.0,0.0,0.0
E05000471,Trinity,1,0.0,0.0,0.0
E05000472,Village,1,0.0,0.0,0.0
E05000473,West Barnes,1,0.0,0.0,0.0
E05000474,Wimbledon Park,0,0.0,0.0,0.0
E05000475,Beckton,4,10.0,0.0,0.0
E05000476,Boleyn,2,10.0,0.0,0.0
E05000477,Canning Town North,2,10.0,0.0,0.0
E05000478,Canning Town South,4,10.0,0.0,0.0
E05000479,Custom House,3,10.0,0.0,0.0
E05000480,East Ham Central,2,10.0,0.0,0.0
E05000481,East Ham North,2,0.0,0.0,0.0
E05000482,East Ham South,3,0.0,0.0,0.0
E05000483,Forest Gate North,4,10.0,0.0,0.0
E05000484,Forest Gate South,2,0.0,0.0,0.0
E05000485,Green Street East,2,0.0,0.0,0.0
E05000486,Green Street West,2,0.0,0.0,0.0
E05000487,Little Ilford,4,10.0,0.0,0.0
E05000488,Manor Park,4,10.0,0.0,0.0
E05000489,Plaistow North,2,0.0,10.0,0.0
E05000490,Plaistow South,0,10.0,0.0,0.0
E05000491,Royal Docks,4,10.0,0.0,0.0
E05000492,Stratford and New Town,3,0.0,0.0,0.0
E05000493,Wall End,2,0.0,0.0,0.0
E05000494,West Ham,4,10.0,0.0,0.0
E05000495,Aldborough,3,0.0,0.0,0.0
E05000496,Barkingside,2,0.0,0.0,0.0
E05000497,Bridge,0,0.0,0.0,0.0
E05000498,Chadwell,2,10.0,0.0,0.0
E05000499,Church End,2,0.0,0.0,0.0
E05000500,Clayhall,2,0.0,0.0,0.0
E05000501,Clementswood,0,0.0,0.0,0.0
E05000502,Cranbrook,2,0.0,0.0,0.0
E05000503,Fairlop,2,10.0,0.0,0.0
E05000504,Fullwell,2,10.0,0.0,0.0
E05000505,Goodmayes,2,0.0,0.0,0.0
E05000506,Hainault,2,10.0,0.0,0.0
E05000507,Loxford,4,10.0,0.0,0.0
E05000508,Mayfield,2,0.0,0.0,0.0
E05000509,Monkhams,2,0.0,0.0,0.0
E05000510,Newbury,2,10.0,0.0,0.0
E05000511,Roding,2,0.0,0.0,0.0
E05000512,Seven Kings,2,0.0,0.0,0.0
E05000513,Snaresbrook,2,0.0,0.0,0.0
E05000514,Valentines,2,0.0,0.0,0.0
E05000515,Wanstead,2,0.0,0.0,0.0
E05000516,Barnes,0,0.0,0.0,0.0
E05000517,East Sheen,1,0.0,0.0,0.0
E05000518,Fulwell and Hampton Hill,1,0.0,0.0,0.0
E05000519,"Ham, Petersham and Richmond Riverside",1,0.0,0.0,0.0
E05000520,Hampton,1,0.0,0.0,0.0
E05000521,Hampton North,3,0.0,0.0,0.0
E05000522,Hampton Wick,1,0.0,0.0,0.0
E05000523,Heathfield,1,0.0,0.0,0.0
E05000524,Kew,1,0.0,0.0,0.0
E05000525,Mortlake and Barnes Common,1,0.0,0.0,0.0
E05000526,North Richmond,1,0.0,0.0,0.0
E05000527,St Margarets and North Twickenham,1,0.0,0.0,0.0
E05000528,South Richmond,1,0.0,0.0,0.0
E05000529,South Twickenham,0,0.0,0.0,0.0
E05000530,Teddington,1,0.0,0.0,0.0
E05000531,Twickenham Riverside,1,0.0,0.0,0.0
E05000532,West Twickenham,1,0.0,0.0,0.0
E05000533,Whitton,1,0.0,0.0,0.0
E05000534,Brunswick Park,4,10.0,0.0,0.0
E05000535,Camberwell Green,4,10.0,0.0,0.0
E05000536,Cathedrals,4,0.0,10.0,0.0
E05000537,Chaucer,4,10.0,0.0,0.0
E05000538,College,0,10.0,0.0,0.0
E05000539,East Dulwich,1,0.0,0.0,0.0
E05000540,East Walworth,4,10.0,0.0,0.0
E05000541,Faraday,3,10.0,0.0,0.0
E05000542,Grange,4,10.0,0.0,0.0
E05000543,Livesey,4,10.0,0.0,0.0
E05000544,Newington,4,10.0,0.0,0.0
E05000545,Nunhead,4,0.0,10.0,0.0
E05000546,Peckham,4,0.0,10.0,0.0
E05000547,Peckham Rye,4,0.0,0.0,0.0
E05000548,Riverside,4,10.0,0.0,0.0
E05000549,Rotherhithe,0,10.0,0.0,0.0
E05000550,South Bermondsey,2,10.0,0.0,0.0
E05000551,South Camberwell,1,10.0,0.0,0.0
E05000552,Surrey Docks,4,0.0,0.0,0.0
E05000553,The Lane,4,10.0,0.0,0.0
E05000554,Village,3,0.0,0.0,0.0
E05000555,Beddington North,1,0.0,0.0,0.0
E05000556,Beddington South,4,0.0,0.0,0.0
E05000557,Belmont,2,0.0,0.0,0.0
E05000558,Carshalton Central,1,0.0,0.0,0.0
E05000559,Carshalton South and Clockhouse,2,0.0,0.0,0.0
E05000560,Cheam,1,0.0,0.0,0.0
E05000561,Nonsuch,2,0.0,0.0,0.0
E05000562,St Helier,0,10.0,0.0,0.0
E05000563,Stonecot,1,0.0,0.0,0.0
E05000564,Sutton Central,1,0.0,0.0,0.0
E05000565,Sutton North,2,0.0,0.0,0.0
E05000566,Sutton South,2,0.0,0.0,0.0
E05000567,Sutton West,1,0.0,0.0,0.0
E05000568,The Wrythe,1,0.0,0.0,0.0
E05000569,Wallington North,1,0.0,0.0,0.0
E05000570,Wallington South,2,0.0,0.0,0.0
E05000571,Wandle Valley,4,0.0,0.0,0.0
E05000572,Worcester Park,2,0.0,0.0,0.0
E05000590,Cann Hall,2,0.0,0.0,0.0
E05000591,Cathall,4,10.0,0.0,0.0
E05000592,Chapel End,0,0.0,0.0,0.0
E05000593,Chingford Green,4,0.0,0.0,0.0
E05000594,Endlebury,4,0.0,0.0,0.0
E05000595,Forest,2,0.0,0.0,0.0
E05000596,Grove Green,2,10.0,0.0,0.0
E05000597,Hale End and Highams Park,2,0.0,0.0,0.0
E05000598,Hatch Lane,3,0.0,0.0,0.0
E05000599,High Street,2,0.0,0.0,0.0
E05000600,Higham Hill,3,10.0,0.0,0.0
E05000601,Hoe Street,2,0.0,0.0,0.0
E05000602,Larkswood,2,0.0,0.0,0.0
E05000603,Lea Bridge,2,0.0,10.0,0.0
E05000604,Leyton,0,10.0,0.0,0.0
E05000605,Leytonstone,2,0.0,0.0,0.0
E05000606,Markhouse,4,0.0,0.0,0.0
E05000607,Valley,2,10.0,0.0,0.0
E05000608,William Morris,2,0.0,10.0,0.0
E05000609,Wood Street,2,10.0,0.0,0.0
E05000610,Balham,1,0.0,0.0,0.0
E05000611,Bedford,0,0.0,0.0,0.0
E05000612,Earlsfield,4,0.0,0.0,0.0
E05000613,East Putney,1,0.0,0.0,0.0
E05000614,Fairfield,1,0.0,0.0,0.0
E05000615,Furzedown,0,0.0,0.0,0.0
E05000616,Graveney,4,0.0,0.0,0.0
E05000617,Latchmere,4,10.0,0.0,0.0
E05000618,Nightingale,1,0.0,0.0,0.0
E05000619,Northcote,1,0.0,0.0,0.0
E05000620,Queenstown,0,10.0,0.0,0.0
E05000621,Roehampton and Putney Heath,4,10.0,0.0,0.0
E05000622,St Mary's Park,4,0.0,0.0,0.0
E05000623,Shaftesbury,2,0.0,0.0,0.0
E05000624,Southfields,3,0.0,0.0,0.0
E05000625,Thamesfield,1,0.0,0.0,0.0
E05000626,Tooting,4,0.0,0.0,0.0
E05000627,Wandsworth Common,1,0.0,0.0,0.0
E05000628,West Hill,4,0.0,0.0,0.0
E05000629,West Putney,4,0.0,0.0,0.0
E05000630,Abbey Road,2,0.0,0.0,0.0
E05000631,Bayswater,2,0.0,0.0,0.0
E05000632,Bryanston and Dorset Square,1,10.0,0.0,0.0
E05000633,Churchill,4,10.0,0.0,0.0
E05000634,Church Street,4,10.0,0.0,0.0
E05000635,Harrow Road,4,10.0,0.0,0.0
E05000636,Hyde Park,1,0.0,0.0,0.0
E05000638,Lancaster Gate,2,0.0,0.0,0.0
E05000639,Little Venice,1,0.0,0.0,0.0
E05000640,Maida Vale,0,0.0,0.0,0.0
E05000641,Marylebone High Street,2,0.0,0.0,0.0
E05000642,Queen's Park,4,10.0,0.0,0.0
E05000643,Regent's Park,0,0.0,0.0,0.0
E05000644,St James's,1,10.0,0.0,0.0
E05000645,Tachbrook,4,0.0,10.0,0.0
E05000646,Vincent Square,4,0.0,0.0,0.0
E05000647,Warwick,2,10.0,0.0,0.0
E05000648,Westbourne,4,0.0,10.0,0.0
E05000649,West End,1,0.0,0.0,0.0
